keys,en,zh,cmn,ja,ko,es,ru
STAGE_2_VOICE_1,"How did that last stretch feel? Full of confidence, or did it make you realize... the danger here far exceeds expectations? See the bodies on the ground? Left behind by challengers just like you. Let me ask you something: how good do you think you are? Think you're better than all these challengers? No need to answer now, we'll talk after this next section.",剛剛那段路…感覺如何？是讓你信心滿滿，還是讓你意識到…這裡的危險遠超預期？看到地上的尸體嗎？這些都是像你這樣的挑戰者留下的。問你個問題吧，你覺得自己的水平如何呢？你覺得自己能比這些挑戰者都厲害嗎？不用急著回答，過完這關我再跟你說吧。,剛剛那段路…感覺如何？是讓你信心滿滿，還是讓你意識到…這裡的危險遠超預期？看到地上的尸體嗎？這些都是像你這樣的挑戰者留下的。問你個問題吧，你覺得自己的水平如何呢？你覺得自己能比這些挑戰者都厲害嗎？不用急著回答，過完這關我再跟你說吧。,さっきの道はどうだった？自信満々か、それとも…ここの危険が予想を遥かに超えていると気づかされたか？地面の死体が見えるか？お前のような挑戦者たちが残したものだ。一つ聞こうか。自分の腕前をどう思う？こいつらより自分が上だと？すぐに答えなくていい。この先を越えてから、また話そう。,"방금 그 길... 어땠지? 자신감이 넘쳤나, 아니면... 이곳의 위험이 예상을 훨씬 뛰어넘는다는 걸 깨달았나? 땅 위의 시체들이 보이나? 다 너 같은 도전자들이 남긴 것이다. 질문 하나 하지. 네 실력이 어떻다고 생각하나? 이 도전자들 전부보다 네가 더 낫다고 생각하나? 지금 대답할 필요는 없다. 이 구간을 지나고 나서 다시 얘기하지.","¿Qué tal ese último tramo? ¿Te llenó de confianza, o te hizo darte cuenta... de que el peligro aquí supera con creces las expectativas? ¿Ves los cuerpos en el suelo? Los dejaron atrás retadores como tú. Déjame preguntarte algo: ¿cómo de buena crees que eres? ¿Crees que eres mejor que todos estos retadores? No hace falta que respondas ahora, hablaremos después de esta sección.","Как тебе показался последний отрезок пути? Полна уверенности, или поняла, что… опасность здесь намного превосходит ожидания? Видишь тела на земле? Оставлены такими же искателями приключений, как ты. Задам тебе вопрос: насколько ты хороша, по-твоему? Считаешь себя лучше всех этих искателей? Не торопись с ответом, поговорим после следующего участка."
STAGE_3_VOICE_1,Have you figured it out? How good do you think you are?,你想清楚了嗎？你覺得你的水平如何呢？,你想清楚了嗎？你覺得你的水平如何呢？,考えはまとまったか？自分の腕前をどう思う？,생각은 정리됐나? 네 실력이 어떻다고 생각하지?,¿Ya lo has decidido? ¿Cómo de buena crees que eres?,"Ну что, решила? Насколько ты хороша, по-твоему?"
STAGE_3_CHOICE_1_RESPONSE,I am the strongest challenger!,我就是最強的挑戰者！,我就是最強的挑戰者！,私が最強の挑戦者だ！,내가 최강의 도전자다!,¡Soy la retadora más fuerte!,Я — сильнейшая искательница!
STAGE_3_VOICE_2,"You know? Many of the dead challengers here answered the same way. But after failing again and again in this ruin, their pride couldn't take it. Let's hope you won't end up like them.",你知道嗎？那些死去的挑戰者當中很多都是這麽回答的。可是在這個遺跡裏經過一次又一次的失敗後，他們的驕傲就承受不住了。希望你不會這樣吧。,你知道嗎？那些死去的挑戰者當中很多都是這麽回答的。可是在這個遺跡裏經過一次又一次的失敗後，他們的驕傲就承受不住了。希望你不會這樣吧。,知っているか？死んだ挑戦者たちの多くがそう答えた。だが、この遺跡で何度も何度も失敗した後、彼らの誇りは耐えられなくなった。お前がそうならないことを願うよ。,"알고 있나? 죽은 도전자들 중 많은 수가 그렇게 대답했지. 하지만 이 유적에서 몇 번이고 실패를 거듭한 후, 그들의 자존심은 견뎌내지 못했다. 너는 그렇게 되지 않기를 바란다.","¿Sabes? Muchos de los retadores muertos aquí respondieron lo mismo. Pero después de fracasar una y otra vez en estas ruinas, su orgullo no pudo soportarlo. Esperemos que no acabes como ellos.","Знаешь? Многие из погибших искателей отвечали так же. Но после неудач, снова и снова в этих руинах, их гордость не выдерживала. Будем надеяться, ты не закончишь, как они."
STAGE_3_CHOICE_2_RESPONSE,"Average, I guess.",一般吧,一般吧,まあまあだ。,"그냥 그렇지, 뭐.","Normalita, supongo.","Обычная, наверное."
STAGE_3_VOICE_3,"You already know, many skilled challengers became corpses in this ruin. What makes you think someone average like you can pass through? Do you still want to give up raising cattle for this?",你都知道了，很多厲害的挑戰者都在這個遺跡裏變成尸體了。你憑甚麽覺得水平一般的你能通過這個遺跡呢？這樣的你還想放棄養牛嗎？,你都知道了，很多厲害的挑戰者都在這個遺跡裏變成尸體了。你憑甚麽覺得水平一般的你能通過這個遺跡呢？這樣的你還想放棄養牛嗎？,知っての通り、多くの腕利きの挑戦者がこの遺跡で死体になった。平凡なお前がここを通過できると、どうして思う？それでも牛飼いをやめたいのか？,"이미 알다시피, 많은 뛰어난 도전자들이 이 유적에서 시체가 되었다. 평범한 수준인 네가 이 유적을 통과할 수 있다고 생각하는 근거는 뭐지? 이런데도 소 키우는 걸 포기하고 싶나?","Ya lo sabes, muchos retadores hábiles se convirtieron en cadáveres en estas ruinas. ¿Qué te hace pensar que alguien normalita como tú puede pasar? ¿Aún quieres renunciar a criar ganado por esto?","Ты уже знаешь, многие умелые искатели стали трупами в этих руинах. С чего ты взяла, что кто-то обычный, как ты, сможет пройти? Ты всё ещё хочешь бросить разведение скота ради этого?"
STAGE_4_VOICE_1,"I admire your persistence. But with that persistence, your bullets dwindle, your stamina fades, and you don't know how much further you have to go. When you finally die, I wonder, will you regret not staying home to raise cattle?",我很敬佩你的堅持，可是隨著你的堅持，你的子彈也會越來越少，你的體力也會越來越差，而你不知道前方還有多久。不知道在你死去的時候，你會不會後悔沒有留在家鄉養牛呢？,我很敬佩你的堅持，可是隨著你的堅持，你的子彈也會越來越少，你的體力也會越來越差，而你不知道前方還有多久。不知道在你死去的時候，你會不會後悔沒有留在家鄉養牛呢？,お前の粘り強さには感心する。だが粘れば粘るほど、弾は減り、体力は落ちる。そして、この先がどれだけ続くかもわからない。死ぬ間際に、故郷で牛を育てなかったことを後悔しないだろうか？,"네 끈기는 존경스럽다만, 끈기를 부릴수록 총알은 줄고, 체력은 떨어지겠지. 그리고 앞길이 얼마나 남았는지도 모르고. 네가 죽을 때, 고향에 남아 소를 키우지 않은 걸 후회하지 않을까 궁금하군.","Admiro tu persistencia. Pero con esa persistencia, tus balas disminuyen, tu resistencia se desvanece, y no sabes cuánto te queda por delante. Cuando finalmente mueras, me pregunto, ¿te arrepentirás de no haberte quedado en casa criando ganado?","Я восхищаюсь твоей настойчивостью. Но с этой настойчивостью твои пули кончаются, твои силы иссякают, а ты не знаешь, сколько ещё впереди. Интересно, когда ты наконец умрешь, не пожалеешь ли, что не осталась дома разводить скот?"
STAGE_5_VOICE_1,"Have you noticed? Everywhere in this ruin looks the same. It makes no difference if you've walked through or not. Nobody knows if you took the right path or the wrong one. Nobody witnesses your struggle, nobody shares your fear. In the end, you'll just die quietly like all those failed challengers.",你有發現嗎？這個遺跡哪裏都是一樣的。走過跟沒走過都沒有區別。走對跟走錯都無人知道。沒有人見證過你的掙扎，沒有人分享你的恐懼。最終你也只會像那些失敗的挑戰者一樣悄悄地死去吧。,你有發現嗎？這個遺跡哪裏都是一樣的。走過跟沒走過都沒有區別。走對跟走錯都無人知道。沒有人見證過你的掙扎，沒有人分享你的恐懼。最終你也只會像那些失敗的挑戰者一樣悄悄地死去吧。,気づいたか？この遺跡はどこも同じだ。歩いたかどうかも違いはない。正しい道か間違った道かも誰も知らない。誰もがお前の苦闘を見ていないし、誰もがお前の恐怖を分かち合わない。結局、お前もあの失敗した挑戦者たちのように、静かに死ぬだけだ。,"알아챘나? 이 유적은 어디든 똑같아. 지나갔든 아니든 차이가 없지. 옳은 길로 갔는지 틀린 길로 갔는지 아무도 모른다. 아무도 네 발버둥을 목격하지 않고, 아무도 네 공포를 나누지 않아. 결국 너도 실패한 도전자들처럼 조용히 죽게 될 뿐이다.","¿Te has dado cuenta? Todo en estas ruinas parece igual. No hay diferencia si has pasado por aquí o no. Nadie sabe si tomaste el camino correcto o el equivocado. Nadie es testigo de tu lucha, nadie comparte tu miedo. Al final, simplemente morirás en silencio como todos esos retadores fracasados.","Ты заметила? В этих руинах всё выглядит одинаково. Нет разницы, прошла ты или нет. Никто не знает, правильный путь ты выбрала или неверный. Никто не видит твоей борьбы, никто не разделяет твоего страха. В конце концов, ты просто тихо умрешь, как все те неудавшиеся искатели."
STAGE_6_VOICE_1,"Tired, aren't you? Reached your limit? Just sleep here forever then. You don't even know how long it's been since you last slept. It's no shame to sleep now, you know.",累了吧。到極限了就在這裏睡到永遠吧。你已不知多久沒有睡覺了，現在睡着也不可恥的哦,累了吧。到極限了就在這裏睡到永遠吧。你已不知多久沒有睡覺了，現在睡着也不可恥的哦,疲れただろう。限界ならここで永遠に眠るがいい。最後に眠ったのがいつかも忘れただろう。今眠るのは恥ではないぞ。,지쳤지. 한계에 다다랐다면 여기서 영원히 자거라. 마지막으로 잔 게 언젠지도 모르잖나. 지금 자는 건 부끄러운 일이 아니야.,"Canscassidy, ¿verdad? ¿Llegaste a tu límite? Pues duerme aquí para siempre. Ni siquiera sabes cuánto tiempo ha pasado desde la última vez que dormiste. No es ninguna vergüenza dormir ahora, ¿sabes?","Устала, да? Дошла до предела? Так спи здесь вечно. Ты уже и не помнишь, когда спала в последний раз. Сейчас уснуть — не позор, знаешь ли."
STAGE_6_CASSIDY_1,...Shut up!,…閉嘴！,…閉嘴！,…黙れ！,...닥쳐!,¡...Cállate!,…Заткнись!
STAGE_6_VOICE_2_ALT,"Oh? Finally snapped? Losing your temper won't change anything, cowgirl. The road ahead is long. Let's see how long you can keep up that tough act.",哦？終於忍不住了嗎？發脾氣可改變不了什麼，牛仔。路還長著呢，我看你能嘴硬到什麼時候。,哦？終於忍不住了嗎？發脾氣可改變不了什麼，牛仔。路還長著呢，我看你能嘴硬到什麼時候。,おや？ついに堪忍袋の緒が切れたか？癇癪を起こしても何も変わらんぞ、カウガール。道はまだ長い。いつまで強がっていられるか、見ものだな。,"오? 드디어 폭발했나? 화낸다고 바뀌는 건 없다, 카우걸. 갈 길은 멀다. 얼마나 더 강한 척 할 수 있을지 어디 보자.","¿Oh? ¿Finalmente te quebraste? Perder los estribos no cambiará ncassidy, vaquera. El camino por delante es largo. Veamos cuánto tiempo puedes mantener esa fachcassidy de dura.","О? Наконец-то не выдержала? Истерика ничего не изменит, ковбойка. Путь впереди долог. Посмотрим, как долго ты сможешь корчить из себя крутую."
STAGE_7_VOICE_1,"Hahaha, you're out of bullets, aren't you? Looks like someone mediocre like you can't complete the challenge after all.",哈哈哈，你已經沒有子彈了吧。看來平庸的你最終是無法完成挑戰啊。,哈哈哈，你已經沒有子彈了吧。看來平庸的你最終是無法完成挑戰啊。,ハハハ、もう弾切れか？やはり凡庸なお前では、この挑戦を完了することはできんようだな。,"하하하, 총알이 다 떨어졌지? 역시 평범한 너로서는 결국 도전을 완수할 수 없겠군.","Jajaja, te has quedado sin balas, ¿verdad? Parece que alguien mediocre como tú no puede completar el desafío después de todo.","Ха-ха-ха, у тебя кончились патроны, да? Похоже, кто-то посредственный вроде тебя всё-таки не сможет завершить испытание."
STAGE_7_CASSIDY_1,You're so damn noisy!,你好吵啊！,你好吵啊！,やかましい！,정말 시끄럽군!,¡Eres tan ruidoso!,Как же ты шумишь!
STAGE_7_VOICE_2,Hm?,嗯？,嗯？,ん？,음?,¿Hmm?,Хм?
STAGE_7_CASSIDY_2,"Mediocre or not, so what if I am? All your talk is just to say I'll die, to make me scared, make my hands shake so I can't shoot you, right?! You know what? As someone who carries a gun, I face things that want me dead every day! You think I'm afraid of something that only runs its mouth?! So what if I'm out of bullets? You... I can kill trash like you even without bullets!",在這裏平庸不平庸的，我平庸又怎麽了？你説這麽多只是想說我會死，讓我怕了手抖了打不到你是吧！你知道嗎？我一個拿槍的對的都是想置我於死地的武器，我還怕你這個只會嘴炮的東西不成？我沒子彈又怎麽了？你這東西，我不用子彈都打得死你啦！,在這裏平庸不平庸的，我平庸又怎麽了？你説這麽多只是想說我會死，讓我怕了手抖了打不到你是吧！你知道嗎？我一個拿槍的對的都是想置我於死地的武器，我還怕你這個只會嘴炮的東西不成？我沒子彈又怎麽了？你這東西，我不用子彈都打得死你啦！,ここで平凡かどうか、私が平凡で何が悪い？お前が言いたいのは、私が死ぬってことだけだろ。私を怖がらせ、手を震わせ、お前を撃てなくさせるためだろ？！知ってるか？銃を持つ私は、毎日私を殺したい武器に立ち向かっているんだ！口先だけの奴に怖気づくとでも？弾切れで何が悪い？お前のようなゴミは、弾がなくても殺せる！,"여기서 평범하든 아니든, 내가 평범하면 뭐 어쨌다는 거냐? 네가 하는 말은 전부 내가 죽을 거라고, 날 겁먹게 해서 손 떨게 만들어 널 쏘지 못하게 하려는 거잖아! 그거 아나? 총을 든 나는 매일 나를 죽이려는 무기들을 상대한다! 입만 살은 너 따위가 무서울 것 같나? 총알이 없으면 뭐 어때? 너 같은 쓰레기는 총알 없이도 죽일 수 있다!","Mediocre o no, ¿y qué si lo soy? ¡Todo lo que dices es para decir que moriré, para asustarme, hacer que me tiemblen las manos y no pueda dispararte, verdad?! ¿Sabes qué? ¡Como alguien que porta un arma, me enfrento a cosas que quieren matarme todos los días! ¡¿Crees que tengo miedo de algo que solo sabe hablar?! ¿Y qué si no tengo balas? ¡Tú... puedo matar basura como tú incluso sin balas!","Посредственная или нет, ну и что, если я такая? Все твои разговоры только для того, чтобы сказать, что я умру, чтобы напугать меня, заставить руки дрожать, чтобы я не смогла в тебя выстрелить, да?! Знаешь что? Я ношу оружие, и каждый день сталкиваюсь с тем, что хочет меня убить! Думаешь, я боюсь того, кто только треплет языком?! Ну и что, что у меня кончились патроны? Ты… Я могу убить такую дрянь, как ты, и без патронов!"
STAGE_7_VOICE_3_ALT,"Hmph, all talk and no action! Let's see just how tough the bones of an 'ordinary person' like you really are!",哼，光說不練！那就讓我看看，你這『普通人』的骨頭到底有多硬！,哼，光說不練！那就讓我看看，你這『普通人』的骨頭到底有多硬！,フン、口先だけだな！ならば見せてもらおうか、お前のような『凡人』の骨がどれだけ硬いのか！,"흥, 말뿐이군! 그럼 어디 보자, 너 같은 '평범한 사람'의 뼈가 얼마나 단단한지!","¡Hmph, pura palabrería! ¡Veamos qué tan duros son realmente los huesos de una 'persona ordinaria' como tú!","Хмф, одни слова! Ну так посмотрим, насколько крепки кости такого „обычного человека“, как ты!"
STAGE_8_CASSIDY_1,Hahaha! I won!,哈哈哈！是我贏了！,哈哈哈！是我贏了！,ハハハ！私が勝った！,하하하! 내가 이겼다!,¡Jajaja! ¡Gané!,Ха-ха-ха! Я победила!
STAGE_8_VOICE_1,"So what if you beat me? When everything falls silent, when you get your so-called 'treasure'... what then? The drive that pushed you all this way is gone, where will you go? Won't you find that true emptiness is only just beginning?",就算你打敗我又如何？當一切歸於平靜，當你拿到你所謂的『寶藏』…那之後呢？驅使你一路走來的動力消失了，你又該何去何從？你會不會發現，真正的空虛，才剛剛開始？,就算你打敗我又如何？當一切歸於平靜，當你拿到你所謂的『寶藏』…那之後呢？驅使你一路走來的動力消失了，你又該何去何從？你會不會發現，真正的空虛，才剛剛開始？,私を倒してどうなる？全てが静まり返り、お前が言うところの『宝』を手に入れたら…そのあとは？ここまでお前を駆り立ててきた動機が消え、どこへ行く？本当の虚無が、始まったばかりだと気づかないか？,"날 이긴들 뭐 어쩌겠나? 모든 것이 고요해지고, 네가 말하는 소위 '보물'을 손에 넣으면... 그 다음은? 널 이끌어온 원동력이 사라졌는데, 어디로 갈 건가? 진정한 공허는 이제 막 시작되었다는 걸 깨닫지 못할까?","¿Y qué si me has vencido? Cuando todo quede en silencio, cuando consigas tu supuesto 'tesoro'... ¿qué entonces? El impulso que te trajo hasta aquí ha desaparecido, ¿a dónde irás? ¿No descubrirás que el verdadero vacío no ha hecho más que empezar?","Ну и что с того, что победила меня? Когда всё стихнет, когда получишь своё так называемое „сокровище“… что потом? Движущая сила, что вела тебя всё это время, исчезла, куда ты пойдёшь? Не обнаружишь ли ты, что настоящая пустота только начинается?"
STAGE_8_CASSIDY_2,"Hahaha! Thanks for the reminder! But maybe you should worry about yourself first. Your questions, or perhaps your last words... I'll remember them.",哈哈哈！感謝你的提醒啊！不過你還是先擔心一下自己吧，你的問題，或是你的遺言，我會記住的。,哈哈哈！感謝你的提醒啊！不過你還是先擔心一下自己吧，你的問題，或是你的遺言，我會記住的。,ハハハ！忠告に感謝する！だが、まずは自分の心配をするんだな。お前の問い、あるいはお前の遺言…覚えておこう。,"하하하! 상기시켜 줘서 고맙군! 하지만 먼저 네 걱정이나 하시지. 네 질문, 아니면 네 유언... 기억해 두겠다.","¡Jajaja! ¡Gracias por el recordatorio! Pero quizás deberías preocuparte primero por ti mismo. Tus preguntas, o quizás tus últimas palabras... las recordaré.","Ха-ха-ха! Спасибо за напоминание! Но, может, тебе стоит сначала побеспокоиться о себе. Твои вопросы, или, возможно, твои последние слова… я их запомню."
OUTRO_NARRATION_1,"And just like that, Cassidy successfully passed through the ruins. Whether she'll return to her life of raising cattle or start a new challenge remains unknown. But for now, exhausted, she needs to rest.",就這樣，艾達成功通過了遺跡。不知道她今後會回歸養牛的生活還是開始新的挑戰。不過疲累的她，需要先休息一陣了。,就這樣，艾達成功通過了遺跡。不知道她今後會回歸養牛的生活還是開始新的挑戰。不過疲累的她，需要先休息一陣了。,こうして、エイダは遺跡を無事に通過した。今後、牛飼いの生活に戻るのか、新たな挑戦を始めるのかはわからない。だが今は、疲れ果てた彼女には休息が必要だった。,"그렇게 에이다는 성공적으로 유적을 통과했다. 앞으로 소를 키우는 삶으로 돌아갈지, 아니면 새로운 도전을 시작할지는 알 수 없다. 하지만 지친 그녀는 일단 휴식이 필요했다.","Y así, Cassidy logró atravesar las ruinas. Se desconoce si volverá a su vida criando ganado o comenzará un nuevo desafío. Pero por ahora, exhausta, necesita descansar.","И вот так Ада успешно прошла через руины. Вернётся ли она к своей жизни, разводя скот, или начнёт новое приключение — неизвестно. Но сейчас, измученная, ей нужно отдохнуть."
PLAYER_MSG_1,"Congratulations on beating this ordinary top-down shooter game. Hope you had fun. Even if you might feel mediocre yourself, you still beat this game, which proves you can accomplish things. If you managed to find some joy during the process, then you are the biggest winner.",恭喜你通關了這個普通的俯視角射擊遊戲。希望你玩得開心。雖然你也許會覺得自己很平庸，但是你還是通關了這個遊戲，這就證明了你還是能做出點事情的了。如果你還能在遊戲的過程中獲得一些樂趣，那你就是最大的贏家了。,恭喜你通關了這個普通的俯視角射擊遊戲。希望你玩得開心。雖然你也許會覺得自己很平庸，但是你還是通關了這個遊戲，這就證明了你還是能做出點事情的了。如果你還能在遊戲的過程中獲得一些樂趣，那你就是最大的贏家了。,この普通のトップダウンシューティングゲームのクリア、おめでとうございます。楽しんでいただけたなら幸いです。自分を平凡だと感じるかもしれませんが、それでもあなたはこのゲームをクリアしました。それは、あなたが何かを成し遂げられることの証明です。もし、この過程で少しでも楽しみを見つけられたなら、あなたこそが最大の勝者です。,"이 평범한 탑다운 슈팅 게임을 클리어하신 것을 축하합니다. 즐겁게 플레이하셨기를 바랍니다. 스스로 평범하다고 느낄지라도, 당신은 이 게임을 클리어했습니다. 이는 당신도 무언가를 해낼 수 있다는 증거입니다. 만약 게임 과정에서 조금이라도 즐거움을 찾으셨다면, 당신이야말로 최대의 승자입니다.","Enhorabuena por pasarte este juego de disparos cenital ordinario. Espero que te hayas divertido. Aunque quizás te sientas mediocre, aun así te has pasado el juego, lo que demuestra que puedes lograr cosas. Si conseguiste encontrar algo de alegría durante el proceso, entonces tú eres el mayor ganador.","Поздравляем с прохождением этой обычной игры-шутера с видом сверху. Надеемся, вам понравилось. Даже если вы можете считать себя посредственным, вы всё же прошли эту игру, что доказывает: вы способны чего-то достигать. Если вы смогли получить хоть немного удовольствия в процессе, то вы — самый большой победитель."
